Soil	BESTF	VPL	VPC	KPL	KPC	rEP	pEP	fP2D	gB2D	VD	KD	YG	alpha	LCI	pEM	VM	KM	Qmax	KBA	Kdes	r0
Gelisol	0.283	3	22.96	3.656	95.941	0.0001	0.096	0.572	0.018	0.05	0.087	0.599	0.5	0.1	0.012	1.028	531.561	2.871	12.274	0.002	0.983
Gelisol	0.283	3	22.919	3.546	95.679	0.0001	0.096	0.572	0.018	0.05	0.086	0.6	0.5	0.1	0.012	1.028	530.406	2.885	12.271	0.002	0.985
Gelisol	0.283	3	22.825	3.566	95.831	0.0001	0.097	0.572	0.018	0.05	0.086	0.6	0.5	0.1	0.012	1.028	528.942	2.897	12.269	0.002	0.987
Gelisol	0.283	3	22.934	3.866	95.311	0.0001	0.097	0.572	0.018	0.05	0.087	0.599	0.5	0.1	0.012	1.03	528.245	2.894	12.271	0.002	0.988
Gelisol	0.283	3	22.846	3.644	95.569	0.0001	0.097	0.572	0.018	0.05	0.086	0.599	0.5	0.1	0.012	1.03	527.961	2.904	12.269	0.002	0.989
Gelisol	0.284	2.999	23.126	3.554	97.179	0.0001	0.095	0.572	0.018	0.05	0.087	0.599	0.499	0.1	0.012	1.025	533.533	2.838	12.274	0.002	0.989
Gelisol	0.284	3	23.126	4.099	96.473	0.0001	0.096	0.572	0.018	0.05	0.087	0.599	0.5	0.1	0.012	1.028	533.264	2.85	12.278	0.002	0.989
Gelisol	0.284	2.999	23.084	3.1	96.521	0.0001	0.095	0.572	0.017	0.05	0.087	0.599	0.5	0.1	0.012	1.026	533.503	2.84	12.274	0.002	0.98
Gelisol	0.284	2.999	22.924	3.144	97.038	0.0001	0.095	0.572	0.017	0.05	0.087	0.599	0.5	0.1	0.012	1.026	534.695	2.844	12.272	0.002	0.975
Gelisol	0.284	3	23.048	3.784	95.355	0.0001	0.096	0.572	0.018	0.05	0.087	0.599	0.5	0.1	0.012	1.027	532.184	2.865	12.276	0.002	0.983
Gelisol	0.284	0.481	43.961	1.002	61.841	0.0001	0.096	0.565	0.522	0.05	0.086	0.573	0.5	0.405	0.051	0.342	825.266	4.068	7.88	0.005	0.987
Gelisol	0.284	0.481	43.961	1.002	61.841	0.0001	0.096	0.565	0.522	0.05	0.086	0.573	0.5	0.405	0.051	0.342	825.266	4.068	7.88	0.005	0.987
Gelisol	0.284	0.481	43.961	1.002	61.841	0.0001	0.096	0.565	0.522	0.05	0.086	0.573	0.5	0.405	0.051	0.342	825.266	4.068	7.88	0.005	0.987
Gelisol	0.284	0.481	43.995	1.002	61.715	0.0001	0.095	0.565	0.519	0.05	0.085	0.572	0.5	0.404	0.051	0.343	812.555	4.088	7.927	0.005	0.986
Gelisol	0.284	0.482	43.995	1.002	61.684	0.0001	0.095	0.565	0.519	0.05	0.085	0.574	0.5	0.408	0.051	0.334	796.842	4.074	7.938	0.005	0.986
Gelisol	0.284	0.482	43.995	1.002	61.684	0.0001	0.095	0.565	0.519	0.05	0.085	0.574	0.5	0.408	0.051	0.334	796.842	4.074	7.938	0.005	0.986
Gelisol	0.284	0.482	43.993	1.002	61.633	0.0001	0.095	0.565	0.52	0.05	0.085	0.573	0.5	0.406	0.051	0.338	800.305	4.09	7.952	0.005	0.986
Gelisol	0.284	0.483	43.988	1.002	61.663	0.0001	0.095	0.565	0.521	0.05	0.085	0.574	0.5	0.407	0.051	0.334	796.847	4.08	7.942	0.005	0.987
Gelisol	0.284	0.483	43.988	1.002	61.663	0.0001	0.095	0.565	0.521	0.05	0.085	0.574	0.5	0.407	0.051	0.334	796.847	4.08	7.942	0.005	0.987
Gelisol	0.285	2.999	23.601	6.351	88.047	0.0001	0.097	0.572	0.017	0.05	0.086	0.596	0.497	0.101	0.012	1.025	543.07	2.759	12.266	0.002	0.916
Gelisol	0.285	2.999	23.642	6.609	89.386	0.0001	0.097	0.572	0.018	0.05	0.086	0.596	0.497	0.1	0.012	1.022	541.451	2.758	12.266	0.002	0.933
Gelisol	0.285	2.999	23.565	5.874	89.487	0.0001	0.097	0.572	0.018	0.05	0.087	0.596	0.497	0.1	0.012	1.023	539.644	2.768	12.268	0.002	0.933
Gelisol	0.285	2.999	23.542	4.694	92.787	0.0001	0.096	0.572	0.017	0.05	0.086	0.596	0.498	0.1	0.012	1.026	536.571	2.787	12.272	0.002	0.938
Gelisol	0.285	1.899	41.888	37.561	9.245	0.0001	0.002	0.635	0.621	0.05	0.086	0.575	0.499	0.102	0.047	0.373	846.484	4.066	7.754	0.005	0.987
Gelisol	0.285	1.899	41.888	37.561	9.245	0.0001	0.002	0.635	0.621	0.05	0.086	0.575	0.499	0.102	0.047	0.373	846.484	4.066	7.754	0.005	0.987
Gelisol	0.285	1.895	42.578	38.691	9.006	0.0001	0.002	0.634	0.619	0.05	0.086	0.574	0.499	0.102	0.048	0.374	841.746	4.072	7.728	0.005	0.988
Gelisol	0.285	1.898	41.917	37.871	9.295	0.0001	0.002	0.637	0.618	0.05	0.086	0.576	0.499	0.102	0.047	0.373	846.224	4.059	7.73	0.005	0.988
Gelisol	0.285	1.892	42.652	39.249	8.903	0.0001	0.002	0.635	0.615	0.05	0.086	0.575	0.499	0.102	0.048	0.375	840.555	4.068	7.696	0.005	0.989
Gelisol	0.285	1.894	42.086	38.464	9.223	0.0001	0.002	0.639	0.614	0.05	0.086	0.577	0.499	0.103	0.047	0.374	842.517	4.055	7.692	0.005	0.989
Gelisol	0.285	1.894	41.916	38.359	9.163	0.0001	0.002	0.639	0.613	0.05	0.086	0.577	0.499	0.103	0.047	0.374	843.634	4.055	7.69	0.005	0.989
Gelisol	0.285	1.893	41.78	38.319	9.161	0.0001	0.002	0.64	0.61	0.05	0.086	0.577	0.499	0.103	0.047	0.374	841.102	4.055	7.706	0.005	0.99
Gelisol	0.285	1.893	41.78	38.319	9.161	0.0001	0.002	0.64	0.61	0.05	0.086	0.577	0.499	0.103	0.047	0.374	841.102	4.055	7.706	0.005	0.99
Gelisol	0.285	1.892	41.829	38.369	9.155	0.0001	0.002	0.639	0.611	0.05	0.086	0.576	0.499	0.103	0.047	0.374	838.348	4.06	7.715	0.005	0.99
Gelisol	0.285	1.892	41.802	38.688	9.126	0.0001	0.002	0.638	0.608	0.05	0.086	0.576	0.499	0.103	0.047	0.374	837.706	4.059	7.734	0.005	0.99
Gelisol	0.285	1.89	41.61	38.367	8.978	0.0001	0.002	0.64	0.605	0.05	0.086	0.575	0.499	0.103	0.048	0.375	833.383	4.066	7.755	0.005	0.99
Gelisol	0.285	1.89	41.837	38.777	9.021	0.0001	0.002	0.639	0.603	0.05	0.086	0.575	0.499	0.102	0.048	0.374	832.48	4.068	7.765	0.005	0.99
Gelisol	0.285	1.889	41.551	38.464	9.012	0.0001	0.002	0.639	0.604	0.05	0.086	0.575	0.499	0.102	0.048	0.374	829.993	4.066	7.77	0.005	0.99
Gelisol	0.285	1.889	41.762	38.47	9.093	0.0001	0.002	0.639	0.605	0.05	0.086	0.575	0.499	0.102	0.048	0.374	829.291	4.065	7.767	0.005	0.99
Gelisol	0.285	1.889	41.911	38.961	9.259	0.0001	0.002	0.639	0.603	0.05	0.086	0.575	0.499	0.102	0.048	0.374	828.475	4.063	7.772	0.005	0.99
Gelisol	0.285	1.889	41.911	38.961	9.259	0.0001	0.002	0.639	0.603	0.05	0.086	0.575	0.499	0.102	0.048	0.374	828.475	4.063	7.772	0.005	0.99
Gelisol	0.285	1.889	41.94	39.042	9.264	0.0001	0.002	0.638	0.602	0.05	0.086	0.575	0.499	0.102	0.048	0.374	827.281	4.065	7.778	0.005	0.99
Gelisol	0.285	0.474	43.895	1.002	62.187	0.0001	0.096	0.56	0.512	0.05	0.086	0.566	0.499	0.379	0.051	0.398	916.665	4.102	7.739	0.005	0.982
Gelisol	0.285	0.474	43.895	1.002	62.187	0.0001	0.096	0.56	0.512	0.05	0.086	0.566	0.499	0.379	0.051	0.398	916.665	4.102	7.739	0.005	0.982
Gelisol	0.285	0.473	43.886	1.001	62.123	0.0001	0.096	0.563	0.52	0.05	0.086	0.566	0.499	0.385	0.052	0.386	910.797	4.105	7.762	0.005	0.986
Gelisol	0.285	0.477	43.869	1.001	62.153	0.0001	0.096	0.564	0.537	0.05	0.085	0.571	0.5	0.399	0.052	0.358	882.22	4.066	7.767	0.005	0.987
Gelisol	0.286	2.999	23.246	6.048	87.42	0.0001	0.097	0.571	0.018	0.05	0.086	0.594	0.496	0.104	0.012	1.027	540.26	2.76	12.273	0.002	0.891
Gelisol	0.286	2.999	23.783	6.034	87.265	0.0001	0.097	0.571	0.017	0.05	0.086	0.594	0.496	0.101	0.012	1.025	537.798	2.752	12.269	0.002	0.897
Gelisol	0.286	2.999	23.624	5.539	86.922	0.0001	0.097	0.571	0.018	0.05	0.086	0.594	0.496	0.102	0.012	1.023	535.648	2.77	12.267	0.002	0.903
Gelisol	0.286	2.999	23.579	5.873	86.554	0.0001	0.097	0.571	0.018	0.05	0.086	0.594	0.497	0.101	0.012	1.024	536.121	2.774	12.265	0.002	0.914
Gelisol	0.286	2.999	23.617	7.402	84.275	0.0001	0.098	0.571	0.018	0.05	0.086	0.595	0.497	0.101	0.012	1.021	541.009	2.741	12.263	0.002	0.928
Gelisol	0.286	1.919	41.134	34.749	10.658	0.0001	0.003	0.635	0.632	0.05	0.088	0.572	0.499	0.102	0.048	0.366	867.031	4.064	7.86	0.005	0.987
Gelisol	0.286	1.917	41.025	35.621	10.158	0.0001	0.003	0.634	0.631	0.05	0.089	0.57	0.499	0.102	0.049	0.368	867.401	4.076	7.86	0.005	0.985
Gelisol	0.286	1.911	41.28	36.039	9.907	0.0001	0.003	0.635	0.627	0.05	0.088	0.572	0.499	0.102	0.048	0.369	860.786	4.07	7.825	0.005	0.986
Gelisol	0.286	1.908	41.315	36.659	9.677	0.0001	0.003	0.636	0.623	0.05	0.088	0.573	0.499	0.102	0.048	0.371	856.601	4.069	7.789	0.005	0.988
Gelisol	0.286	0.468	43.852	1.003	62.203	0.0001	0.096	0.559	0.492	0.05	0.086	0.559	0.499	0.37	0.05	0.429	921.269	4.125	7.69	0.005	0.981
Gelisol	0.286	0.467	43.82	1.003	62.056	0.0001	0.096	0.56	0.506	0.05	0.086	0.561	0.499	0.378	0.05	0.422	927.446	4.114	7.753	0.005	0.987
Gelisol	0.287	2.999	22.904	8.517	78.65	0.0001	0.098	0.572	0.019	0.05	0.085	0.596	0.496	0.109	0.012	1.026	555.719	2.638	12.263	0.002	0.928
Gelisol	0.287	2.999	22.939	8.236	81.041	0.0001	0.098	0.574	0.019	0.05	0.085	0.597	0.496	0.11	0.012	1.026	557.698	2.666	12.275	0.002	0.926
Gelisol	0.287	2.999	23.583	5.761	84.838	0.0001	0.097	0.571	0.019	0.05	0.086	0.593	0.496	0.101	0.012	1.026	537.955	2.725	12.27	0.002	0.897
Gelisol	0.287	1.94	40.488	33.894	11.379	0.0001	0.004	0.625	0.645	0.05	0.091	0.564	0.5	0.1	0.052	0.365	891.942	4.09	7.993	0.005	0.983
Gelisol	0.287	1.932	41.61	34.668	11.225	0.0001	0.003	0.631	0.639	0.05	0.089	0.568	0.499	0.101	0.05	0.36	865.882	4.052	7.95	0.005	0.985
Gelisol	0.287	0.473	44.007	1.011	61.991	0.0001	0.096	0.565	0.472	0.05	0.087	0.557	0.499	0.353	0.049	0.44	916.743	4.217	7.825	0.006	0.988
Gelisol	0.288	1.945	40.42	32.592	12.614	0.0001	0.005	0.623	0.653	0.05	0.093	0.559	0.499	0.1	0.052	0.362	903.675	4.097	8.018	0.005	0.979
Gelisol	0.288	1.946	41.342	32.951	12.463	0.0001	0.004	0.621	0.653	0.05	0.093	0.561	0.5	0.1	0.053	0.366	929.106	4.14	7.989	0.005	0.985
Gelisol	0.288	1.944	41.403	33.102	12.379	0.0001	0.004	0.623	0.651	0.05	0.093	0.562	0.499	0.1	0.053	0.365	913.534	4.116	7.992	0.005	0.98
Gelisol	0.288	1.938	41.277	33.26	12.182	0.0001	0.004	0.624	0.649	0.05	0.092	0.562	0.499	0.101	0.052	0.367	909.69	4.122	7.958	0.005	0.983
Gelisol	0.289	2.999	23.363	10.712	76.645	0.0001	0.098	0.571	0.018	0.05	0.085	0.591	0.497	0.106	0.012	1.02	534.054	2.639	12.258	0.002	0.921
Gelisol	0.289	2.999	23.363	10.712	76.645	0.0001	0.098	0.571	0.018	0.05	0.085	0.591	0.497	0.106	0.012	1.02	534.054	2.639	12.258	0.002	0.921
Gelisol	0.289	1.944	38.827	32.318	12.121	0.0001	0.005	0.621	0.656	0.05	0.094	0.562	0.5	0.101	0.053	0.364	900.821	4.079	8.016	0.005	0.979
Gelisol	0.289	1.941	41.289	32.774	13.009	0.0001	0.005	0.622	0.658	0.05	0.095	0.559	0.498	0.101	0.053	0.365	911.822	4.117	7.99	0.005	0.983
Gelisol	0.289	1.942	40.083	32.678	12.7	0.0001	0.005	0.624	0.657	0.05	0.094	0.559	0.5	0.101	0.053	0.364	910.213	4.136	8.01	0.005	0.982
Gelisol	0.289	0.475	43.84	1.009	61.94	0.0001	0.097	0.573	0.438	0.05	0.085	0.544	0.499	0.344	0.046	0.477	917.872	4.224	7.765	0.006	0.971
Gelisol	0.29	2.998	22.403	10.406	72.67	0.0001	0.099	0.573	0.019	0.05	0.085	0.596	0.496	0.115	0.012	1.026	574.046	2.565	12.24	0.002	0.945
Gelisol	0.29	0.475	44.105	1.011	62.313	0.0001	0.097	0.57	0.441	0.05	0.086	0.542	0.499	0.35	0.047	0.454	911.547	4.26	7.744	0.006	0.956
Gelisol	0.291	1.939	34.898	30.764	11.016	0.0001	0.006	0.62	0.651	0.05	0.093	0.567	0.5	0.101	0.054	0.377	883.662	4.097	8.041	0.005	0.968
Gelisol	0.292	1.945	37.202	31.501	11.97	0.0001	0.005	0.621	0.657	0.05	0.095	0.566	0.498	0.101	0.054	0.368	888.194	4.06	7.968	0.005	0.973
Gelisol	0.292	0.496	44.324	1.003	63.062	0.0001	0.097	0.584	0.448	0.05	0.085	0.523	0.5	0.343	0.051	0.441	879.464	4.483	7.797	0.006	0.875
Gelisol	0.293	1.924	35.893	30.128	11.599	0.0001	0.006	0.612	0.657	0.05	0.094	0.56	0.495	0.102	0.055	0.384	874.72	4.075	7.995	0.005	0.967
Gelisol	0.293	1.356	10.629	92.614	15.342	0.0001	0.039	0.711	0.211	0.05	0.107	0.566	0.48	0.237	0.054	0.44	742.714	4.999	15.857	0.001	0.956
Gelisol	0.293	1.356	10.613	92.541	15.525	0.0001	0.038	0.71	0.211	0.05	0.107	0.567	0.48	0.231	0.054	0.441	743.423	4.999	15.851	0.001	0.955
Gelisol	0.293	1.356	10.535	92.537	15.567	0.0001	0.038	0.71	0.211	0.05	0.107	0.567	0.48	0.225	0.054	0.441	743.354	4.999	15.843	0.001	0.954
Gelisol	0.293	1.356	10.477	92.393	15.632	0.0001	0.038	0.71	0.211	0.05	0.107	0.567	0.48	0.221	0.054	0.441	743.868	4.999	15.827	0.001	0.954
Gelisol	0.293	1.356	10.446	93.08	15.536	0.0001	0.038	0.711	0.211	0.05	0.107	0.566	0.479	0.223	0.054	0.441	743.767	4.999	15.824	0.001	0.955
Gelisol	0.293	1.356	10.439	92.374	15.643	0.0001	0.037	0.71	0.212	0.05	0.107	0.568	0.479	0.218	0.054	0.441	744.045	5	15.82	0.001	0.953
Gelisol	0.293	1.356	10.393	92.993	15.616	0.0001	0.037	0.711	0.211	0.05	0.107	0.568	0.479	0.215	0.054	0.442	744.048	5	15.814	0.001	0.953
Gelisol	0.294	2.999	21.697	7.742	75.423	0.0001	0.099	0.579	0.019	0.05	0.084	0.616	0.497	0.117	0.012	1.027	594.769	2.569	12.258	0.001	0.986
Gelisol	0.294	1.356	10.991	95.213	14.506	0.0001	0.041	0.712	0.209	0.05	0.107	0.562	0.481	0.275	0.055	0.438	740.98	4.997	15.916	0.001	0.965
Gelisol	0.294	1.356	10.981	95.379	14.611	0.0001	0.041	0.713	0.209	0.05	0.107	0.562	0.48	0.274	0.055	0.438	741.082	4.993	15.898	0.001	0.965
Gelisol	0.294	1.356	10.88	94.482	14.69	0.0001	0.041	0.712	0.208	0.05	0.107	0.563	0.48	0.265	0.055	0.437	740.823	4.994	15.886	0.001	0.962
Gelisol	0.294	1.356	10.858	94.143	14.622	0.0001	0.04	0.712	0.208	0.05	0.107	0.561	0.479	0.267	0.055	0.438	740.858	4.994	15.885	0.001	0.963
Gelisol	0.294	1.356	10.7	93.765	14.757	0.0001	0.04	0.713	0.208	0.05	0.107	0.561	0.479	0.258	0.055	0.438	741.152	4.996	15.874	0.001	0.961
Gelisol	0.294	1.356	10.762	93.493	14.875	0.0001	0.04	0.713	0.209	0.05	0.107	0.562	0.479	0.258	0.055	0.438	741.412	4.996	15.88	0.001	0.961
Gelisol	0.294	1.356	10.686	93.213	14.959	0.0001	0.039	0.712	0.209	0.05	0.107	0.562	0.479	0.252	0.055	0.438	741.616	4.997	15.864	0.001	0.96
Gelisol	0.294	1.356	10.739	92.443	15.148	0.0001	0.039	0.711	0.21	0.05	0.107	0.564	0.48	0.25	0.055	0.439	741.927	4.999	15.879	0.001	0.958
Gelisol	0.294	1.356	10.641	92.547	15.231	0.0001	0.039	0.711	0.21	0.05	0.107	0.564	0.479	0.244	0.055	0.439	742.403	4.999	15.861	0.001	0.957
Gelisol	0.295	1.891	31.659	28.88	10.495	0.0001	0.008	0.594	0.665	0.05	0.093	0.555	0.496	0.105	0.056	0.421	852.175	4.192	8.12	0.005	0.954
Gelisol	0.295	1.896	33.474	29.214	10.757	0.0001	0.008	0.601	0.663	0.05	0.094	0.555	0.495	0.105	0.055	0.416	856.323	4.175	8.1	0.005	0.955
Gelisol	0.295	1.356	10.333	98.59	13.46	0.0001	0.04	0.722	0.196	0.05	0.107	0.555	0.48	0.277	0.057	0.437	740.044	4.998	15.984	0.001	0.978
Gelisol	0.295	1.356	10.501	96.666	13.429	0.0001	0.04	0.72	0.199	0.05	0.107	0.556	0.48	0.278	0.057	0.438	740.8	4.993	15.982	0.001	0.975
Gelisol	0.295	1.356	10.947	96.579	14.101	0.0001	0.041	0.714	0.205	0.05	0.107	0.562	0.482	0.281	0.056	0.439	740.725	4.998	15.968	0.001	0.969
Gelisol	0.295	1.356	10.87	95.845	14.259	0.0001	0.041	0.715	0.205	0.05	0.107	0.561	0.481	0.275	0.056	0.439	741.115	4.997	15.94	0.001	0.967
Gelisol	0.295	0.495	44.285	1.009	63.165	0.0001	0.098	0.592	0.487	0.05	0.085	0.513	0.5	0.336	0.054	0.409	856.815	4.591	7.919	0.006	0.836
Gelisol	0.296	1.883	32.114	28.835	10.931	0.0001	0.008	0.588	0.676	0.05	0.094	0.552	0.495	0.106	0.056	0.42	847.02	4.165	8.051	0.005	0.957
Gelisol	0.296	1.884	31.801	28.848	10.607	0.0001	0.008	0.591	0.671	0.05	0.094	0.553	0.496	0.106	0.056	0.424	848.076	4.185	8.094	0.005	0.955
Gelisol	0.296	1.883	32.222	28.02	10.386	0.0001	0.008	0.595	0.667	0.05	0.094	0.554	0.497	0.106	0.056	0.409	848.518	4.112	8.018	0.005	0.96
Gelisol	0.296	1.356	10.159	97.967	12.513	0.0001	0.039	0.727	0.189	0.05	0.107	0.55	0.476	0.27	0.058	0.434	741.396	4.974	15.934	0.001	0.98
Gelisol	0.296	1.356	10.403	99.062	13.163	0.0001	0.04	0.728	0.193	0.05	0.107	0.554	0.479	0.27	0.057	0.435	741.488	4.976	15.954	0.001	0.979
Gelisol	0.296	1.356	10.187	97.716	12.917	0.0001	0.04	0.727	0.192	0.05	0.107	0.553	0.479	0.275	0.057	0.435	740.088	4.977	15.974	0.001	0.979
Gelisol	0.296	0.484	44.513	1.03	62.979	0.0001	0.098	0.581	0.394	0.05	0.085	0.507	0.498	0.311	0.053	0.361	742.295	4.404	7.755	0.006	0.808
Gelisol	0.296	0.486	44.322	1.039	63.9	0.0001	0.098	0.589	0.401	0.05	0.085	0.513	0.5	0.315	0.054	0.369	785.708	4.381	7.926	0.006	0.84
Gelisol	0.296	0.486	44.322	1.039	63.9	0.0001	0.098	0.589	0.401	0.05	0.085	0.513	0.5	0.315	0.054	0.369	785.708	4.381	7.926	0.006	0.84
Gelisol	0.297	1.891	33.114	28.896	12.761	0.0001	0.008	0.574	0.683	0.05	0.093	0.547	0.492	0.106	0.056	0.406	852.491	4.043	7.896	0.005	0.973
Gelisol	0.297	1.356	9.274	94.605	10.162	0.0001	0.038	0.721	0.179	0.05	0.107	0.54	0.467	0.291	0.059	0.431	736.849	4.999	15.933	0.001	0.989
Gelisol	0.297	1.356	9.767	93.728	10.619	0.0001	0.038	0.72	0.185	0.05	0.107	0.542	0.468	0.276	0.059	0.432	741.946	4.98	15.751	0.001	0.984
Gelisol	0.297	0.481	44.334	1.067	63.443	0.0001	0.098	0.582	0.323	0.05	0.085	0.506	0.498	0.291	0.058	0.327	698.97	4.299	7.91	0.005	0.816
Gelisol	0.298	0.489	43.24	47.899	16.341	0.0001	0.009	0.567	0.495	0.043	0.091	0.548	0.5	0.1	0.072	0.285	713.62	2.288	11.515	0.002	0.335
Gelisol	0.298	0.489	43.26	47.897	16.597	0.0001	0.009	0.567	0.495	0.043	0.091	0.548	0.5	0.1	0.072	0.284	714.023	2.287	11.516	0.002	0.333
Gelisol	0.298	0.489	43.322	47.899	16.984	0.0001	0.009	0.567	0.495	0.043	0.091	0.548	0.5	0.1	0.072	0.283	713.742	2.286	11.513	0.002	0.333
Gelisol	0.298	0.489	43.206	47.914	17.012	0.0001	0.009	0.568	0.497	0.043	0.091	0.549	0.5	0.1	0.072	0.282	714.449	2.285	11.527	0.002	0.329
Gelisol	0.298	0.489	43.177	47.921	17.106	0.0001	0.009	0.568	0.498	0.043	0.091	0.549	0.5	0.1	0.072	0.281	714.198	2.284	11.526	0.002	0.327
Gelisol	0.298	1.356	9.17	88.006	9.151	0.0001	0.035	0.721	0.179	0.05	0.106	0.535	0.462	0.287	0.06	0.43	739.28	4.988	15.691	0.001	0.978
Gelisol	0.298	1.356	9.296	92.254	9.468	0.0001	0.037	0.715	0.18	0.05	0.107	0.537	0.463	0.289	0.059	0.431	739.936	4.987	15.757	0.001	0.987
Gelisol	0.298	1.356	9.182	90.101	9.679	0.0001	0.036	0.72	0.18	0.05	0.107	0.538	0.465	0.286	0.059	0.43	739.909	4.989	15.801	0.001	0.98
Gelisol	0.299	0.496	42.63	47.801	12.526	0.0001	0.007	0.572	0.514	0.043	0.09	0.543	0.499	0.121	0.071	0.291	712.461	2.288	11.449	0.002	0.309
Gelisol	0.299	0.494	43.09	47.74	13.193	0.0001	0.008	0.569	0.506	0.043	0.091	0.542	0.499	0.12	0.071	0.295	713.496	2.293	11.436	0.002	0.326
Gelisol	0.299	0.491	43.224	47.778	15.425	0.0001	0.008	0.568	0.503	0.043	0.091	0.545	0.5	0.114	0.072	0.292	718.724	2.29	11.494	0.002	0.326
Gelisol	0.299	0.488	43.421	47.813	17.056	0.0001	0.009	0.566	0.496	0.043	0.092	0.546	0.5	0.105	0.072	0.291	720.861	2.292	11.533	0.002	0.339
Gelisol	0.299	0.486	43.749	47.747	17.573	0.0001	0.009	0.564	0.493	0.043	0.092	0.547	0.5	0.106	0.072	0.293	723.449	2.29	11.537	0.002	0.34
Gelisol	0.299	0.487	43.807	47.779	17.081	0.0001	0.009	0.564	0.487	0.043	0.093	0.548	0.5	0.102	0.072	0.293	721.706	2.294	11.54	0.002	0.35
Gelisol	0.299	0.488	43.588	47.794	16.261	0.0001	0.009	0.565	0.49	0.043	0.092	0.547	0.5	0.104	0.072	0.292	719.281	2.294	11.524	0.002	0.344
Gelisol	0.299	0.488	43.296	47.872	17.219	0.0001	0.009	0.567	0.494	0.043	0.092	0.549	0.5	0.1	0.072	0.286	721.525	2.289	11.58	0.002	0.334
Gelisol	0.299	0.489	43.17	47.882	16.657	0.0001	0.009	0.568	0.497	0.043	0.091	0.548	0.5	0.102	0.072	0.286	719.361	2.288	11.561	0.002	0.331
Gelisol	0.299	0.489	43.003	47.916	17.037	0.0001	0.009	0.569	0.5	0.043	0.091	0.549	0.5	0.101	0.072	0.283	719.421	2.285	11.576	0.002	0.325
Gelisol	0.299	0.489	42.992	47.925	17.174	0.0001	0.009	0.569	0.499	0.043	0.091	0.55	0.5	0.1	0.072	0.282	719.581	2.285	11.591	0.002	0.326
Gelisol	0.299	0.488	43.116	47.895	17.636	0.0001	0.009	0.568	0.499	0.043	0.091	0.55	0.5	0.101	0.072	0.283	720.848	2.283	11.589	0.002	0.325
Gelisol	0.299	0.488	43.153	47.89	17.409	0.0001	0.009	0.568	0.498	0.043	0.092	0.55	0.5	0.101	0.072	0.284	720.049	2.284	11.583	0.002	0.328
Gelisol	0.299	0.488	43.107	47.904	17.676	0.0001	0.009	0.568	0.499	0.043	0.091	0.55	0.5	0.1	0.072	0.282	720.386	2.283	11.584	0.002	0.324
Gelisol	0.299	0.488	43.04	47.913	17.577	0.0001	0.009	0.568	0.5	0.043	0.091	0.55	0.5	0.101	0.072	0.281	719.451	2.282	11.583	0.002	0.323
Gelisol	0.299	0.488	43.094	47.906	17.47	0.0001	0.009	0.568	0.498	0.043	0.091	0.55	0.5	0.1	0.072	0.282	719.292	2.283	11.583	0.002	0.326
Gelisol	0.299	0.489	43.02	47.922	17.178	0.0001	0.009	0.569	0.5	0.043	0.091	0.55	0.5	0.1	0.072	0.282	718.145	2.283	11.574	0.002	0.324
Gelisol	0.299	1.356	9.389	81.718	8.454	0.0001	0.034	0.723	0.181	0.05	0.106	0.533	0.459	0.278	0.06	0.429	743.727	4.988	15.477	0.001	0.975
Gelisol	0.299	1.356	9.199	86.019	8.864	0.0001	0.035	0.722	0.18	0.05	0.106	0.535	0.461	0.284	0.06	0.429	742.269	4.983	15.618	0.001	0.976
Gelisol	0.3	0.499	41.964	47.973	12.751	0.0001	0.007	0.577	0.519	0.042	0.089	0.542	0.5	0.115	0.071	0.285	707.5	2.293	11.447	0.003	0.303
Gelisol	0.3	0.497	42.515	47.778	11.604	0.0001	0.007	0.572	0.516	0.043	0.09	0.541	0.499	0.124	0.071	0.291	708.51	2.289	11.388	0.002	0.302
Gelisol	0.3	0.496	42.961	47.684	13.992	0.0001	0.008	0.57	0.522	0.043	0.09	0.539	0.5	0.133	0.071	0.294	713.755	2.284	11.374	0.002	0.303
Gelisol	0.3	0.495	42.67	47.731	13.161	0.0001	0.008	0.571	0.519	0.043	0.09	0.541	0.499	0.129	0.071	0.29	711.93	2.284	11.394	0.002	0.297
Gelisol	0.3	0.495	42.67	47.731	13.161	0.0001	0.008	0.571	0.519	0.043	0.09	0.541	0.499	0.129	0.071	0.29	711.93	2.284	11.394	0.002	0.297
Gelisol	0.3	0.494	42.761	47.724	13.874	0.0001	0.008	0.57	0.516	0.043	0.09	0.541	0.499	0.125	0.071	0.291	715.024	2.285	11.424	0.002	0.303
Gelisol	0.3	1.918	40.383	31.564	17.777	0.0001	0.009	0.566	0.7	0.05	0.095	0.532	0.475	0.103	0.057	0.416	865.209	4.02	7.913	0.005	0.982
Gelisol	0.3	1.91	34.363	31.073	15.225	0.0001	0.009	0.572	0.69	0.05	0.094	0.54	0.481	0.104	0.057	0.429	857.412	4.16	8.089	0.005	0.969
Gelisol	0.3	1.356	9.339	72.354	7.562	0.0001	0.031	0.724	0.185	0.05	0.106	0.53	0.456	0.27	0.06	0.426	749.474	4.933	15.271	0.001	0.966
Gelisol	0.3	1.356	9.123	72.24	7.585	0.0001	0.03	0.733	0.18	0.05	0.106	0.53	0.457	0.276	0.06	0.425	744.492	4.98	15.372	0.001	0.962
Gelisol	0.3	0.48	45.024	1.053	62.125	0.0001	0.098	0.585	0.352	0.05	0.086	0.489	0.494	0.294	0.062	0.316	674.302	4.57	7.674	0.006	0.744
