 Simulation_Period = 20180101 -- 20181231
       Day                         AVG & STDDEV for VAR[1:n]
  20180703            2.810611            0.003531
  20180704            2.822848            0.003529
  20180705            2.835080            0.003527
  20180706            2.847306            0.003525
  20180707            2.859525            0.003523
  20180708            2.871738            0.003521
  20180709            2.883944            0.003519
  20180710            2.896143            0.003517
  20180711            2.908335            0.003515
  20180712            2.920519            0.003513
  20180713            2.932696            0.003511
  20180714            2.944866            0.003509
  20180715            2.957028            0.003507
  20180716            2.969182            0.003504
  20180717            2.981327            0.003502
  20180718            2.993465            0.003499
  20180719            3.005594            0.003497
  20180720            3.017714            0.003494
  20180721            3.029825            0.003492
  20180722            3.041927            0.003489
  20180723            3.054021            0.003487
  20180724            3.066104            0.003484
  20180725            3.078179            0.003481
  20180726            3.090243            0.003478
  20180727            3.102298            0.003475
  20180728            3.114343            0.003473
  20180729            3.126377            0.003470
  20180730            3.138401            0.003467
  20180731            3.150415            0.003463
  20180801            3.162418            0.003460
  20180802            3.174410            0.003457
  20180803            3.186391            0.003454
  20180804            3.198360            0.003451
  20180805            3.210319            0.003447
  20180806            3.222266            0.003444
  20180807            3.234201            0.003441
  20180808            3.246125            0.003437
  20180809            3.258036            0.003434
  20180810            3.269936            0.003430
  20180811            3.281823            0.003427
  20180812            3.293698            0.003423
  20180813            3.305560            0.003419
  20180814            3.317409            0.003416
  20180815            3.329246            0.003412
  20180816            3.341069            0.003408
  20180817            3.352879            0.003404
  20180818            3.364676            0.003401
  20180819            3.376460            0.003397
  20180820            3.388230            0.003393
  20180821            3.399986            0.003389
  20180822            3.411728            0.003385
  20180823            3.423456            0.003381
  20180824            3.435170            0.003377
  20180825            3.446870            0.003372
  20180826            3.458555            0.003368
  20180827            3.470225            0.003364
  20180828            3.481881            0.003360
  20180829            3.493522            0.003355
  20180830            3.505148            0.003351
  20180831            3.516758            0.003347
  20180901            3.528354            0.003342
  20180902            3.539934            0.003338
  20180903            3.551498            0.003333
  20180904            3.563047            0.003329
  20180905            3.574580            0.003324
  20180906            3.586098            0.003320
  20180907            3.597599            0.003315
  20180908            3.609084            0.003310
  20180909            3.620552            0.003305
  20180910            3.632005            0.003301
  20180911            3.643440            0.003296
  20180912            3.654859            0.003291
