 Data_Period = 20180101 -- 20180131
      Hour        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH
2018010503            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010504            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010505            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010506            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010507            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010508            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010509            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010510            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010511            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010512            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010513            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010514            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010515            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010516            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010517            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010518            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010519            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010520            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010521            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010522            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010523            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010524            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010601            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010602            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010603            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010604            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010605            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010606            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010607            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010608            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010609            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010610            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010611            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010612            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010613            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010614            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010615            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010616            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010617            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010618            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010619            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010620            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010621            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010622            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010623            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010624            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010701            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010702            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010703            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010704            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010705            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010706            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010707            0.000000           25.000000         -999.000000           -0.000726            7.200000
