 SCE-UA Results from Multiple Runs:

         LF0          r0         VP1         VP2          VM         KP1         KP2          KM        Qmax         Kba        Kdes          rE         pEP        fpEM          fD          gD          Vg       alpha          KD          Yg        Ygsl        wdie       gamma        beta       WPA2D         tau       wdorm |  CRITERION    OBJ-1:         0
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026454    0.250040    0.100000    0.817526    0.049988    0.313951    0.499581    0.599966    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2574    0.3425
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026970    0.250133    0.100070    0.968147    0.049990    0.313010    0.499603    0.599968    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2575    0.3424
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027168    0.250060    0.100008    0.993468    0.049996    0.311694    0.498139    0.599902    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3001    0.2577    0.3424
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.032369    0.250152    0.100020    0.728861    0.049993    0.293694    0.498764    0.599810    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3004    0.2466    0.3541
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.020660    0.250787    0.100017    0.765442    0.047349    0.357886    0.499967    0.599856    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3032    0.2719    0.3345
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026906    0.250245    0.100007    0.413734    0.049996    0.313491    0.499942    0.599951    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2576    0.3422
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026868    0.250069    0.100015    0.210855    0.049999    0.313652    0.499886    0.599999    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2577    0.3420
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026063    0.250642    0.100015    0.278818    0.050000    0.314711    0.499917    0.599992    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2573    0.3427
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026928    0.250305    0.100028    0.180434    0.049996    0.313474    0.499969    0.599972    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2576    0.3422
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026037    0.250639    0.100005    0.887303    0.049994    0.314809    0.499989    0.599991    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2572    0.3427
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026908    0.253102    0.100016    0.129042    0.049989    0.313596    0.499910    0.599964    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2577    0.3421
