 Simulation_Period = 20090901 -- 20170831
   ID  VAR           Date             OBS_avg             SIM_avg              SIM_sd
  119    5         201212          0.00000632          0.00001204          0.00000029
  120    5         201310          0.00001860          0.00002370          0.00000021
  121    5         201410          0.00001500          0.00002017          0.00000023
  122    5         201510          0.00002550          0.00002508          0.00000046
  123    5         201601          0.00003130          0.00002809          0.00000018
  124    5         201602          0.00002190          0.00002848          0.00000005
  125    5         201603          0.00003240          0.00002807          0.00000038
  126    5         201604          0.00001640          0.00002711          0.00000007
  127    5         201605          0.00003130          0.00002756          0.00000022
  128    5         201606          0.00002970          0.00002833          0.00000022
  129    5         201607          0.00003140          0.00002913          0.00000024
  130    5         201608          0.00004390          0.00002995          0.00000022
  131    5         201609          0.00002980          0.00003066          0.00000021
  132    5         201610          0.00003220          0.00003123          0.00000010
  133    5         201611          0.00003670          0.00003092          0.00000009
  134    5         201612          0.00004020          0.00003065          0.00000032

OBJ-FUNCTIONS & PARAMETERS:
    fOBJ (best=0) =     0.3125
          fOBJ[i] =     0.4543    0.0000    0.0002    0.2334    0.3080
   fOBJ_weight[i] =     0.5556    0.1111    0.1111    0.1111    0.1111

             LF0              r0            fINP              VP            PAR1             KP1             fKM            PAR3            Qmax             Kba            Kdes              rE             pEP            fpEM              fD              gD              Vg           alpha              KD              Yg            Ygsl             Q10           gamma            beta           WPA2D             tau           wdorm         VNup_MB        KsNH4_MB        KsNO3_MB            Vnit          Vdenit            PAR4
     0.90000000,     0.20000000,     0.44000000,    75.00000000,     2.00000000,   100.00000000,     6.00000000,   492.00000000,     2.50000000,     6.00000000,     0.00600000,     0.00011671,     0.00112179,     2.96755608,     0.89861772,     0.99920673,     0.02851858,     0.04998506,     0.00056197,     0.26647437,     0.00101457,     1.39388095,    14.44399126,     0.00972940,     0.03347875,     0.25000000,     4.00000000,     0.04999182,     0.00010000,     0.00010000,     0.02651949,     0.02614681,     1.00000000,
