 Data_Period = 20180801 -- 20180807                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
       Day        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
  20180801        0.000000E+00        0.200000E+02       -0.999000E+03       -0.100000E-01        0.730000E+01
  20180802        0.000000E+00        0.200000E+02       -0.999000E+03       -0.100000E-01        0.730000E+01
  20180803        0.000000E+00        0.200000E+02       -0.999000E+03       -0.100000E-01        0.730000E+01
  20180804        0.000000E+00        0.200000E+02       -0.999000E+03       -0.100000E-01        0.730000E+01
  20180805        0.000000E+00        0.200000E+02       -0.999000E+03       -0.100000E-01        0.730000E+01
  20180806        0.000000E+00        0.200000E+02       -0.999000E+03       -0.100000E-01        0.730000E+01
  20180807        0.000000E+00        0.200000E+02       -0.999000E+03       -0.100000E-01        0.730000E+01
