 Data_Period = 20180801 -- 20180807
      Hour        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH
2018080414            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080415            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080416            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080417            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080418            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080419            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080420            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080421            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080422            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080423            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080424            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080501            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080502            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080503            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080504            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080505            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080506            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080507            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080508            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080509            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080510            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080511            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080512            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080513            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080514            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080515            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080516            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080517            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080518            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080519            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080520            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080521            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080522            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080523            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080524            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080601            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080602            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080603            0.000000           20.000000         -999.000000           -0.010000            7.300000
