MMDDHH	SIN_mg/cm3/h	STP_oC	SWC	SWP_MPa	pH
010707	0	25	0.245	-0.000726	7.3
010708	0	25	0.245	-0.000726	7.3
010709	0	25	0.245	-0.000726	7.3
010710	0	25	0.245	-0.000726	7.3
010711	0	25	0.245	-0.000726	7.3
010712	0	25	0.245	-0.000726	7.3
010713	0	25	0.245	-0.000726	7.3
010714	0	25	0.245	-0.000726	7.3
010715	0	25	0.245	-0.000726	7.3
010716	0	25	0.245	-0.000726	7.3
010717	0	25	0.245	-0.000726	7.3
010718	0	25	0.245	-0.000726	7.3
010719	0	25	0.245	-0.000726	7.3
010720	0	25	0.245	-0.000726	7.3
010721	0	25	0.245	-0.000726	7.3
010722	0	25	0.245	-0.000726	7.3
010723	0	25	0.245	-0.000726	7.3
010724	0	25	0.245	-0.000726	7.3
010801	0	25	0.245	-0.000726	7.3
010802	0	25	0.245	-0.000726	7.3
010803	0	25	0.245	-0.000726	7.3
010804	0	25	0.245	-0.000726	7.3
010805	0	25	0.245	-0.000726	7.3
010806	0	25	0.245	-0.000726	7.3
010807	0	25	0.245	-0.000726	7.3
010808	0	25	0.245	-0.000726	7.3
010809	0	25	0.245	-0.000726	7.3
010810	0	25	0.245	-0.000726	7.3
010811	0	25	0.245	-0.000726	7.3
010812	0	25	0.245	-0.000726	7.3
010813	0	25	0.245	-0.000726	7.3
010814	0	25	0.245	-0.000726	7.3
010815	0	25	0.245	-0.000726	7.3
010816	0	25	0.245	-0.000726	7.3
010817	0	25	0.245	-0.000726	7.3
010818	0	25	0.245	-0.000726	7.3
010819	0	25	0.245	-0.000726	7.3
010820	0	25	0.245	-0.000726	7.3
010821	0	25	0.245	-0.000726	7.3
010822	0	25	0.245	-0.000726	7.3
010823	0	25	0.245	-0.000726	7.3
010824	0	25	0.245	-0.000726	7.3
010901	0	25	0.245	-0.000726	7.3
010902	0	25	0.245	-0.000726	7.3
010903	0	25	0.245	-0.000726	7.3
010904	0	25	0.245	-0.000726	7.3
010905	0	25	0.245	-0.000726	7.3
010906	0	25	0.245	-0.000726	7.3
010907	0	25	0.245	-0.000726	7.3
010908	0	25	0.245	-0.000726	7.3
010909	0	25	0.245	-0.000726	7.3
010910	0	25	0.245	-0.000726	7.3
010911	0	25	0.245	-0.000726	7.3
010912	0	25	0.245	-0.000726	7.3
010913	0	25	0.245	-0.000726	7.3
010914	0	25	0.245	-0.000726	7.3
010915	0	25	0.245	-0.000726	7.3
010916	0	25	0.245	-0.000726	7.3
010917	0	25	0.245	-0.000726	7.3
010918	0	25	0.245	-0.000726	7.3
010919	0	25	0.245	-0.000726	7.3
010920	0	25	0.245	-0.000726	7.3
010921	0	25	0.245	-0.000726	7.3
010922	0	25	0.245	-0.000726	7.3
010923	0	25	0.245	-0.000726	7.3
010924	0	25	0.245	-0.000726	7.3
011001	0	25	0.245	-0.000726	7.3
011002	0	25	0.245	-0.000726	7.3
011003	0	25	0.245	-0.000726	7.3
011004	0	25	0.245	-0.000726	7.3
011005	0	25	0.245	-0.000726	7.3
011006	0	25	0.245	-0.000726	7.3
011007	0	25	0.245	-0.000726	7.3
011008	0	25	0.245	-0.000726	7.3
011009	0	25	0.245	-0.000726	7.3
011010	0	25	0.245	-0.000726	7.3
011011	0	25	0.245	-0.000726	7.3
011012	0	25	0.245	-0.000726	7.3
011013	0	25	0.245	-0.000726	7.3
011014	0	25	0.245	-0.000726	7.3
011015	0	25	0.245	-0.000726	7.3
011016	0	25	0.245	-0.000726	7.3
011017	0	25	0.245	-0.000726	7.3
011018	0	25	0.245	-0.000726	7.3
